"filename", "language", "Markdown", "JavaScript", "Vue", "HTML", "SCSS", "CSS", "XML", "YAML", "JSON", "JSON with Comments", "Log", "comment", "blank", "total"
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\greenPoint.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\guide.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\international.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\language.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\list.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\message.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\money.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\people.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\vscode_project\Performace-MM\front-end\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
